sku,name,manufacturer,model,mpn
A040,Portwest A040,Portwest,A040,
A060,Portwest A060,Portwest,A060,
A106,Portwest A106,Portwest,A106,
A110,Portwest A110,Portwest,A110,
A111,Portwest A111,Portwest,A111,
A120,Portwest A120,Portwest,A120,
A123,Portwest A123,Portwest,A123,
A130,Portwest A130,Portwest,A130,
A140,Portwest A140,Portwest,A140,
A145,Portwest A145,Portwest,A145,
A146,Portwest A146,Portwest,A146,
A148,Portwest A148,Portwest,A148,
A150,Portwest A150,Portwest,A150,
A195,Portwest A195,Portwest,A195,
A198,Portwest A198,Portwest,A198,
A210,Portwest A210,Portwest,A210,
A220,Portwest A220,Portwest,A220,
A260,Portwest A260,Portwest,A260,
A261,Portwest A261,Portwest,A261,
A304,Portwest A304,Portwest,A304,
A611,Portwest A611,Portwest,A611,
A621,Portwest A621,Portwest,A621,
A622,Portwest A622,Portwest,A622,
A625,Portwest A625,Portwest,A625,
A626,Portwest A626,Portwest,A626,
A630,Portwest A630,Portwest,A630,
A631,Portwest A631,Portwest,A631,
A632,Portwest A632,Portwest,A632,
A636,Portwest A636,Portwest,A636,
A637,Portwest A637,Portwest,A637,
