SKU,Product name,Manufacturer,Model,MPN,Size,Coating,Material,Length,Pairs per pack,Cut rating,Touchscreen,Certification,Legacy note
CF-0001,ForgeWorks FG-100 · XS,ForgeWorks,FG-100,FG-100-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0002,ForgeWorks FG-100 · S,ForgeWorks,FG-100,FG-100-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0003,ForgeWorks FG-100 · M,ForgeWorks,FG-100,FG-100-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0004,ForgeWorks FG-100 · L,ForgeWorks,FG-100,FG-100-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0005,ForgeWorks FG-100 · XL,ForgeWorks,FG-100,FG-100-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0006,ForgeWorks FG-101 · XS,ForgeWorks,FG-101,FG-101-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0007,ForgeWorks FG-101 · S,ForgeWorks,FG-101,FG-101-S-N,S,Nitrile,Leather,,,,,,Synthetic demo · not a real product
CF-0008,ForgeWorks FG-101 · M,ForgeWorks,FG-101,FG-101-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0009,ForgeWorks FG-101 · L,ForgeWorks,FG-101,FG-101-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0010,ForgeWorks FG-101 · XL,ForgeWorks,FG-101,FG-101-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0011,ForgeWorks FG-102 · XS,ForgeWorks,FG-102,FG-102-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0012,ForgeWorks FG-102 · S,ForgeWorks,FG-102,FG-102-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0013,ForgeWorks FG-102 · M,ForgeWorks,FG-102,FG-102-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0014,ForgeWorks FG-102 · L,ForgeWorks,FG-102,FG-102-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0015,ForgeWorks FG-102 · XL,ForgeWorks,FG-102,FG-102-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0016,ForgeWorks FG-103 · XS,ForgeWorks,FG-103,FG-103-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0017,ForgeWorks FG-103 · S,ForgeWorks,FG-103,FG-103-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0018,ForgeWorks FG-103 · M,ForgeWorks,FG-103,FG-103-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0019,ForgeWorks FG-103 · L,ForgeWorks,FG-103,FG-103-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0020,ForgeWorks FG-103 · XL,ForgeWorks,FG-103,FG-103-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0021,ForgeWorks FG-104 · XS,ForgeWorks,FG-104,FG-104-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0022,ForgeWorks FG-104 · S,ForgeWorks,FG-104,FG-104-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0023,ForgeWorks FG-104 · M,ForgeWorks,FG-104,FG-104-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0024,ForgeWorks FG-104 · L,ForgeWorks,FG-104,FG-104-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0025,ForgeWorks FG-104 · XL,ForgeWorks,FG-104,FG-104-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0026,ForgeWorks FG-105 · XS,ForgeWorks,FG-105,FG-105-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0027,ForgeWorks FG-105 · S,ForgeWorks,FG-105,FG-105-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0028,ForgeWorks FG-105 · M,ForgeWorks,FG-105,FG-105-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0029,ForgeWorks FG-105 · L,ForgeWorks,FG-105,FG-105-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0030,ForgeWorks FG-105 · XL,ForgeWorks,FG-105,FG-105-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0031,ForgeWorks FG-106 · XS,ForgeWorks,FG-106,FG-106-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0032,ForgeWorks FG-106 · S,ForgeWorks,FG-106,FG-106-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0033,ForgeWorks FG-106 · M,ForgeWorks,FG-106,FG-106-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0034,ForgeWorks FG-106 · L,ForgeWorks,FG-106,FG-106-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0035,ForgeWorks FG-106 · XL,ForgeWorks,FG-106,FG-106-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0036,ForgeWorks FG-107 · XS,ForgeWorks,FG-107,FG-107-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0037,ForgeWorks FG-107 · S,ForgeWorks,FG-107,FG-107-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0038,ForgeWorks FG-107 · M,ForgeWorks,FG-107,FG-107-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0039,ForgeWorks FG-107 · L,ForgeWorks,FG-107,FG-107-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0040,ForgeWorks FG-107 · XL,ForgeWorks,FG-107,FG-107-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0041,ForgeWorks FG-108 · XS,ForgeWorks,FG-108,FG-108-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0042,ForgeWorks FG-108 · S,ForgeWorks,FG-108,FG-108-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0043,ForgeWorks FG-108 · M,ForgeWorks,FG-108,FG-108-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0044,ForgeWorks FG-108 · L,ForgeWorks,FG-108,FG-108-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0045,ForgeWorks FG-108 · XL,ForgeWorks,FG-108,FG-108-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0046,ForgeWorks FG-109 · XS,ForgeWorks,FG-109,FG-109-XS-N,XS,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0047,ForgeWorks FG-109 · S,ForgeWorks,FG-109,FG-109-S-N,S,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0048,ForgeWorks FG-109 · M,ForgeWorks,FG-109,FG-109-M-N,M,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0049,ForgeWorks FG-109 · L,ForgeWorks,FG-109,FG-109-L-N,L,Nitrile,,,,,,,Synthetic demo · not a real product
CF-0050,ForgeWorks FG-109 · XL,ForgeWorks,FG-109,FG-109-XL-N,XL,Nitrile,,,,,,,Synthetic demo · not a real product
