Dataset,Manufacturer,Model,MPN,Size,Coating,Material,Length,Qty per box,Cut level,Touchscreen
Synthetic CatalogForge fixture v1,ForgeWorks,FG-102,FG-102-XS-N,XS,Nitrile,Polyester,23 cm,12 pairs,A3,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-102,FG-102-S-N,S,Nitrile,Polyester,24 cm,12 pairs,A3,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-102,FG-102-M-N,M,Nitrile,Polyester,25 cm,12 pairs,A3,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-102,FG-102-L-N,L,Nitrile,Polyester,26 cm,12 pairs,A3,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-102,FG-102-XL-N,XL,Nitrile,Polyester,27 cm,12 pairs,A3,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-103,FG-103-XS-N,XS,Nitrile,Nylon,23 cm,12 pairs,A4,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-103,FG-103-S-N,S,Nitrile,Nylon,24 cm,12 pairs,A4,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-103,FG-103-M-N,M,Nitrile,Nylon,25 cm,12 pairs,A4,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-103,FG-103-L-N,L,Nitrile,Nylon,26 cm,12 pairs,A4,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-103,FG-103-XL-N,XL,Nitrile,Nylon,27 cm,12 pairs,A4,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-104,FG-104-XS-N,XS,Nitrile,HPPE,23 cm,12 pairs,A5,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-104,FG-104-S-N,S,Nitrile,HPPE,24 cm,12 pairs,A5,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-104,FG-104-M-N,M,Nitrile,HPPE,25 cm,12 pairs,A5,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-104,FG-104-L-N,L,Nitrile,HPPE,26 cm,12 pairs,A5,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-104,FG-104-XL-N,XL,Nitrile,HPPE,27 cm,12 pairs,A5,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-105,FG-105-XS-N,XS,Nitrile,Polyester,23 cm,12 pairs,A1,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-105,FG-105-S-N,S,Nitrile,Polyester,24 cm,12 pairs,A1,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-105,FG-105-M-N,M,Nitrile,Polyester,25 cm,12 pairs,A1,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-105,FG-105-L-N,L,Nitrile,Polyester,26 cm,12 pairs,A1,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-105,FG-105-XL-N,XL,Nitrile,Polyester,27 cm,12 pairs,A1,yes
Synthetic CatalogForge fixture v1,ForgeWorks,FG-106,FG-106-XS-N,XS,Nitrile,Nylon,23 cm,12 pairs,A2,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-106,FG-106-S-N,S,Nitrile,Nylon,24 cm,12 pairs,A2,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-106,FG-106-M-N,M,Nitrile,Nylon,25 cm,12 pairs,A2,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-106,FG-106-L-N,L,Nitrile,Nylon,26 cm,12 pairs,A2,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-106,FG-106-XL-N,XL,Nitrile,Nylon,27 cm,12 pairs,A2,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-108,FG-108-XS-N,XS,Nitrile,Polyester,23 cm,12 pairs,A4,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-108,FG-108-S-N,S,Nitrile,Polyester,24 cm,12 pairs,A4,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-108,FG-108-M-N,M,Nitrile,Polyester,25 cm,12 pairs,A4,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-108,FG-108-L-N,L,Nitrile,Polyester,26 cm,12 pairs,A4,no
Synthetic CatalogForge fixture v1,ForgeWorks,FG-108,FG-108-XL-N,XL,Nitrile,Polyester,27 cm,12 pairs,A4,no
