SKU,Product name,Manufacturer,Model,MPN,Size,Coating,Material,Length,Pairs per pack,Cut rating,Touchscreen,Certification,Legacy note
NS-001,PrecisionGrip assembly glove,Northstar Safety,PG-210,PG-210-M-PU,M,PU,,,,,,,Fictional training product. Not a safety specification.
NS-002,FlexTouch precision glove,Northstar Safety,FT-220,FT-220-L-PU,L,PU,,,,,,,Fictional training product. Not a safety specification.
NS-003,WetGrip handling glove,Northstar Safety,WG-440,WG-440-M-NITRILE,M,Nitrile,,,,,,,Fictional training product. Not a safety specification.
NS-004,WetGrip latex variant,Northstar Safety,WG-440,WG-440-L-LATEX,L,Latex,,,,,,,Fictional training product. Not a safety specification.
NS-005,BulkGuard receiving pack,Northstar Safety,BG-310,BG-310-L-LATEX,L,Latex,,,,,,,Fictional training product. Not a safety specification.
NS-006,FamilyFit general-purpose glove,Northstar Safety,FF-500,FF-500-M-PU,M,PU,,,,,,,Fictional training product. Not a safety specification.
NS-007,LengthCheck supplier correction,Northstar Safety,LC-700,LC-700-XL-NITRILE,XL,Nitrile,,,,,,,Fictional training product. Not a safety specification.
NS-008,LegacyGuard imported record,Northstar Safety,LG-810,LG-810-S-NITRILE,S,Nitrile,Leather,,,,,,Fictional training product. Not a safety specification.
NS-009,BlankSpec undocumented glove,Northstar Safety,BS-900,BS-900-M-PU,M,PU,,,,,,,Fictional training product. Not a safety specification.
NS-010,SafeText document review,Northstar Safety,ST-100,ST-100-M-NITRILE,M,Nitrile,,,,,,,Fictional training product. Not a safety specification.
NS-011,CartonTwin six-pair pack,Northstar Safety,CT-600,CT-600-M-NITRILE-P6,M,Nitrile,,,,,,,Fictional training product. Not a safety specification.
NS-012,PrecisionGrip heavy-duty model,Northstar Safety,PG-2100,PG-2100-M-PU,M,PU,,,,,,,Fictional training product. Not a safety specification.
